Quantity,Task,Original Start,Original End,Original Duration,Original Converged,Original Convergence Time,Enhanced Start,Enhanced End,Enhanced Duration,Enhanced Converged,Enhanced Convergence Time,Task Time Saved,Task % Improvement,Quantity Time Saved,Quantity % Improvement
Fx,velocityRamp,0.0,74.08,74.08,No,,0.0,74.08,74.08,No,,0.0,0.0,0.0,0.0
Fx,largeTimeStep,74.08,98.1189,24.038899999999998,Yes,98.1189,74.08,98.1189,24.038899999999998,No,,0.0,0.0,0.0,0.0
Fx,reduceTimeStep,98.1189,98.1189,0.0,No,,98.1189,98.1189,0.0,No,,0.0,0.0,0.0,0.0
Fx,propulsionVariation,98.1189,284.70805,186.58915000000002,Yes,284.70805,98.1189,284.70805,186.58915000000002,No,,0.0,0.0,0.0,0.0
Fx,final,284.70805,284.9704,0.26234999999996944,Yes,284.9704,284.70805,284.9704,0.26234999999996944,No,,0.0,0.0,0.0,0.0
Fx,stopJob,284.9704,284.9704,0.0,No,,284.9704,284.9704,0.0,No,,0.0,0.0,0.0,0.0
WFT,velocityRamp,0.0,74.08,74.08,No,,0.0,74.08,74.08,No,,0.0,0.0,0.0,0.0
WFT,largeTimeStep,74.08,98.1189,24.038899999999998,No,,74.08,98.1189,24.038899999999998,No,,0.0,0.0,0.0,0.0
WFT,reduceTimeStep,98.1189,98.1189,0.0,No,,98.1189,98.1189,0.0,No,,0.0,0.0,0.0,0.0
WFT,propulsionVariation,98.1189,284.70805,186.58915000000002,Yes,98.6436,98.1189,284.70805,186.58915000000002,Yes,270.9201,0.0,0.0,-172.2765,-32833.33333333271
WFT,final,284.70805,284.9704,0.26234999999996944,Yes,284.9704,284.70805,284.9704,0.26234999999996944,No,,0.0,0.0,0.0,0.0
WFT,stopJob,284.9704,284.9704,0.0,No,,284.9704,284.9704,0.0,No,,0.0,0.0,0.0,0.0
