time,value
0.0583,0.0
0.1166,-0.0
0.1749,-0.0
0.2332,-0.0
0.2915,-0.0
0.3498,-0.0
0.4081,-0.0
0.4664,-0.0
0.5247,-0.0
0.583,-0.0
0.6413,-0.0
0.6996,-0.0
0.7579,-0.0
0.8162,-0.0
0.8745,-0.0
0.9328,-0.0
0.9911,-0.0
1.0494,-0.0
1.1077,-0.0
1.166,-0.0
1.2243,-0.0
1.2826,-0.0
1.3409,-0.0
1.3992,-0.0
1.4575,-0.0
1.5158,-0.0
1.5741,-0.0
1.6324,-0.0
1.6907,-0.0
1.749,-0.0
1.8073,-0.0
1.8656,-0.0
1.9239,-0.0
1.9822,-0.0
2.0405,-0.0
2.0988,-0.0
2.1571,-0.0
2.2154,-0.0
2.2737,-0.0
2.332,-0.0
2.3903,-0.0
2.4486,-0.0
2.5069,-0.0
2.5652,-0.0
2.6235,-0.0
2.6818,-0.0
2.7401,-0.0
2.7984,-0.0
2.8567,-0.0
2.915,-0.0
2.9733,-0.0
3.0316,-0.0
3.0899,-0.0
3.1482,-0.0
3.2065,-0.0
3.2648,-0.0
3.3231,-0.0
3.3814,-0.0
3.4397,-0.0
3.498,-0.0
3.5563,-0.0
3.6146,-0.0
3.6729,-0.0
3.7312,-0.0
3.7895,-67.27941261
3.8478,-667.5856126
3.9061,-1895.209376
3.9644,-3754.919155
4.0227,-6249.499973
4.081,-9379.97327
4.1393,-13144.71718
4.1976,-17543.20651
4.2559,-22566.72978
4.3142,-28211.78669
4.3725,-34468.28684
4.4308,-41325.08075
4.4891,-48772.09153
4.5474,-56796.85898
4.6057,-65386.68824
4.664,-74526.35516
4.7223,-84195.11378
4.7806,-94379.19747
4.8389,-105052.5437
4.8972,-116199.4687
4.9555,-127785.5601
5.0138,-139796.9652
5.0721,-152199.7632
5.1304,-164971.6417
5.1887,-178071.0597
5.247,-191492.2634
5.3053,-205168.1472
5.3636,-219100.3394
5.4219,-233216.0047
5.4802,-247530.858
5.5385,-261949.5962
5.5968,-276502.3013
5.6551,-291080.6374
5.7134,-305719.1884
5.7717,-320304.0489
5.83,-334880.201
5.8883,-349328.7139
5.9466,-363704.5707
6.0049,-377849.2575
6.0632,-391855.0209
6.1215,-405559.28
6.1798,-419044.1644
6.2381,-432168.7626
6.2964,-444974.8096
6.3547,-457375.4808
6.413,-469398.5494
6.4713,-480925.439
6.5296,-492027.2358
6.5879,-502564.8364
6.6462,-512619.533
6.7045,-522055.0727
6.7628,-530969.2461
6.8211,-539202.3806
6.8794,-546852.9927
6.9377,-553811.3455
6.996,-560149.5337
7.0543,-565751.7747
7.1126,-570719.222
7.1709,-574802.2775
7.2292,-578338.7412
7.2875,-580916.4912
7.3458,-582865.1606
7.4041,-583842.9277
7.4624,-584280.033
7.5207,-584038.3009
7.579,-583817.5869
7.6373,-583343.3301
7.6956,-582949.6168
7.7539,-582348.3538
7.8122,-581812.3997
7.8705,-581086.0002
7.9288,-580476.5707
7.9871,-579786.4846
8.0454,-579211.3939
8.1037,-578404.548
8.162,-577606.6761
8.2203,-576625.55
8.2786,-575662.4926
8.3369,-574433.9295
8.3952,-573144.4898
8.4535,-571626.7486
8.5118,-570047.9571
8.5701,-568370.3339
8.6284,-566792.0245
8.6867,-565083.2487
8.745,-563502.3764
8.8033,-561709.9979
8.8616,-559893.3392
8.9199,-557970.9957
8.9782,-555894.7887
9.0365,-553631.8587
9.0948,-551262.2291
9.1531,-548840.504
9.2114,-546550.3574
9.2697,-544179.0166
9.328,-542027.9807
9.3863,-539840.2901
9.4446,-537900.9429
9.5029,-536068.3492
9.5612,-534560.0076
9.6195,-533132.637
9.6778,-532044.7865
9.7361,-531016.0322
9.7944,-530232.6612
9.8527,-529518.1415
9.911,-529044.2047
9.9693,-528566.297
10.0276,-528316.9381
10.0859,-528074.603
10.1442,-528068.6896
10.2025,-528004.4078
10.2608,-528136.3066
10.3191,-528209.2808
10.3774,-528436.1216
10.4357,-528477.7022
10.494,-528582.4639
10.5523,-528533.1463
10.6106,-528608.8916
10.6689,-528484.1642
10.7272,-528483.1424
10.7855,-528324.5835
10.8438,-528256.2973
10.9021,-528121.6197
10.9604,-528000.1107
11.0187,-527872.2661
11.077,-527635.1114
11.1353,-527508.6218
11.1936,-527276.3261
11.2519,-527134.1628
11.3102,-526815.5746
11.3685,-526672.072
11.4268,-526434.6239
11.4851,-526261.5839
11.5434,-525941.6834
11.6017,-525855.3321
11.66,-525598.9171
11.7183,-525484.064
11.7766,-525264.5978
11.8349,-525269.8869
11.8932,-524989.7167
11.9515,-525000.8472
12.0098,-524735.4812
12.0681,-524753.3954
12.1264,-524565.6201
12.1847,-524498.7331
12.243,-524388.1816
12.3013,-524277.8596
12.3596,-524162.7265
12.4179,-524068.9323
12.4762,-523893.8266
12.5345,-523853.8946
12.5928,-523628.5976
12.6511,-523737.829
12.7094,-523555.0351
12.7677,-523494.8321
12.826,-523413.3838
12.8843,-523515.9886
12.9426,-523305.6817
13.0009,-523380.9452
13.0592,-523338.4019
13.1175,-523396.3678
13.1758,-523343.1362
13.2341,-523462.6491
13.2924,-523431.3126
13.3507,-523637.2155
13.409,-523613.545
13.4673,-523791.5963
13.5256,-523862.7308
13.5839,-524085.0422
13.6422,-524111.867
13.7005,-524470.7728
13.7588,-524518.7223
13.8171,-524809.6391
13.8754,-524938.5941
13.9337,-525150.3627
13.992,-525258.842
14.0503,-525508.0375
14.1086,-525734.9416
14.1669,-525968.9633
14.2252,-526065.3492
14.2835,-526488.628
14.3418,-526592.9892
14.4001,-526804.4165
14.4584,-527136.2676
14.5167,-527518.9635
14.575,-527713.1921
14.6333,-528158.945
14.6916,-528378.8922
14.7499,-528725.4979
14.8082,-528933.2166
14.8665,-529232.4627
14.9248,-529513.4972
14.9831,-529889.6435
15.0414,-530060.1334
15.0997,-530572.2798
15.158,-530796.8041
15.2163,-531276.1838
15.2746,-531481.5719
15.3329,-531839.4849
15.3912,-532124.1006
15.4495,-532419.1984
15.5078,-532693.5866
15.5661,-533161.3872
15.6244,-533316.5254
15.6827,-533707.7599
15.741,-533852.6798
15.7993,-534263.6011
15.8576,-534540.0067
15.9159,-534857.6858
15.9742,-534968.2349
16.0325,-535404.8726
16.0908,-535450.0749
16.1491,-535893.6097
16.2074,-536061.4197
16.2657,-536183.882
16.324,-536238.8774
16.3823,-536518.3915
16.4406,-536736.9643
16.4989,-536805.4088
16.5572,-537009.8014
16.6155,-537158.3854
16.6738,-537234.0808
16.7321,-537430.172
16.7904,-537505.8363
16.8487,-537705.3603
16.907,-537886.2164
16.9653,-538011.2863
17.0236,-538152.5395
17.0819,-538435.4405
17.1402,-538497.9021
17.1985,-538593.4627
17.2568,-538901.4775
17.3151,-539035.457
17.3734,-539168.9972
17.4317,-539346.4852
17.49,-539418.8251
17.5483,-539605.4519
17.6066,-539825.4505
17.6649,-539775.4487
17.7232,-539831.6573
17.7815,-540058.3685
17.8398,-539957.8415
17.8981,-540129.0503
17.9564,-540291.9657
18.0147,-540332.9388
18.073,-540374.8098
18.1313,-540465.6719
18.1896,-540458.6186
18.2479,-540759.0112
18.3062,-540630.6703
18.3645,-540696.7067
18.4228,-540807.1486
18.4811,-541073.9807
18.5394,-541229.6496
18.5977,-541312.4268
18.656,-541378.9228
18.7143,-541544.7237
18.7726,-541554.1073
18.8309,-541808.2275
18.8892,-541806.9503
18.9475,-542030.6378
19.0058,-542043.8227
19.0641,-542149.3116
19.1224,-542072.557
19.1807,-542189.4554
19.239,-542011.6526
19.2973,-542211.5803
19.3556,-542225.2766
19.4139,-542393.27
19.4722,-542220.697
19.5305,-542291.2548
19.5888,-542244.3519
19.6471,-542176.7276
19.7054,-542324.764
19.7637,-542183.3693
19.822,-542240.4123
19.8803,-542224.525
19.9386,-542362.7849
19.9969,-542220.9206
20.0552,-542304.9927
20.1135,-542077.8293
20.1718,-542360.3247
20.2301,-542084.7615
20.2884,-542332.2295
20.3467,-542108.5995
20.405,-542342.1679
20.4633,-542145.2585
20.5216,-542307.0431
20.5799,-542232.9437
20.6382,-542302.1248
20.6965,-542003.4062
20.7548,-542123.5012
20.8131,-541881.8141
20.8714,-542026.0091
20.9297,-541757.6502
20.988,-541827.0675
21.0463,-541728.2271
21.1046,-541907.6583
21.1629,-541562.3928
21.2212,-541778.7853
21.2795,-541452.1468
21.3378,-541432.1304
21.3961,-541197.9808
21.4544,-541196.07
21.5127,-540669.6625
21.571,-541041.4567
21.6293,-540594.5787
21.6876,-540736.2899
21.7459,-540309.1625
21.8042,-540222.1765
21.8625,-539768.1572
21.9208,-539779.8497
21.9791,-539040.4893
22.0374,-539181.3693
22.0957,-538796.4628
22.154,-538752.9154
22.2123,-538290.0491
22.2706,-538239.0525
22.3289,-537668.2961
22.3872,-537638.3314
22.4455,-537404.1392
22.5038,-537037.1858
22.5621,-536810.5814
22.6204,-536520.9564
22.6787,-536051.5191
22.737,-535688.7179
22.7953,-535561.2711
22.8536,-535479.7967
22.9119,-535006.4873
22.9702,-534532.6798
23.0285,-534243.3338
23.0868,-533910.2801
23.1451,-533620.5288
23.2034,-533042.1413
23.2617,-532879.5367
23.32,-532531.9308
23.3783,-532059.3868
23.4366,-531659.8435
23.4949,-531403.0193
23.5532,-530824.2715
23.6115,-530503.1174
23.6698,-530040.6334
23.7281,-529718.0951
23.7864,-529328.8283
23.8447,-528918.4175
23.903,-528579.7437
23.9613,-528412.5417
24.0196,-527474.0363
24.0779,-527106.4757
24.1362,-526358.7631
24.1945,-526042.9977
24.2528,-525441.6825
24.3111,-524939.8072
24.3694,-524565.4394
24.4277,-523915.4603
24.486,-523578.3112
24.5443,-522996.3781
24.6026,-522295.3139
24.6609,-521873.3161
24.7192,-521254.2438
24.7775,-520700.317
24.8358,-519936.1742
24.8941,-519565.0735
24.9524,-518847.4865
25.0107,-518281.1323
25.069,-517616.1548
25.1273,-516982.682
25.1856,-516260.7821
25.2439,-515579.7184
25.3022,-515372.0349
25.3605,-514266.7479
25.4188,-513381.7508
25.4771,-512759.0545
25.5354,-512066.7456
25.5937,-511352.1774
25.652,-510381.6736
25.7103,-509686.2695
25.7686,-508824.3832
25.8269,-507906.1939
25.8852,-507210.6926
25.9435,-506110.4743
26.0018,-505190.1733
26.0601,-504353.6333
26.1184,-503587.7729
26.1767,-502618.3455
26.235,-501425.0359
26.2933,-500631.6767
26.3516,-499699.6237
26.4099,-498738.1318
26.4682,-497932.7977
26.5265,-497046.1788
26.5848,-495672.7478
26.6431,-495127.5075
26.7014,-494093.0711
26.7597,-493116.6368
26.818,-491838.5717
26.8763,-491058.5628
26.9346,-490198.6646
26.9929,-488768.3768
27.0512,-488273.4457
27.1095,-486638.3217
27.1678,-485977.2586
27.2261,-484957.776
27.2844,-483989.0674
27.3427,-483123.7001
27.401,-482126.4291
27.4593,-481349.4967
27.5176,-480117.1645
27.5759,-479594.7631
27.6342,-478182.7399
27.6925,-477412.8458
27.7508,-475370.4627
27.8091,-474554.6291
27.8674,-473396.3446
27.9257,-472503.6619
27.984,-471165.3643
28.0423,-470266.6014
28.1006,-468957.3734
28.1589,-467995.7068
28.2172,-466237.3796
28.2755,-464954.4828
28.3338,-463545.7873
28.3921,-462106.59
28.4504,-461200.3834
28.5087,-459542.162
28.567,-458896.4239
28.6253,-457576.9096
28.6836,-456213.8452
28.7419,-454915.0756
28.8002,-453818.7758
28.8585,-452365.6314
28.9168,-451518.634
28.9751,-449946.0078
29.0334,-448296.7415
29.0917,-447017.1448
29.15,-445979.2999
29.2083,-444355.747
29.2666,-443675.1514
29.3249,-442033.654
29.3832,-441098.149
29.4415,-439194.6562
29.4998,-438639.7689
29.5581,-437142.5299
29.6164,-436255.7184
29.6747,-434469.6072
29.733,-433416.2939
29.7913,-432037.2503
29.8496,-430252.3751
29.9079,-428489.0036
29.9662,-426859.6489
30.0245,-425553.6448
30.0828,-424094.3119
30.1411,-422792.5653
30.1994,-420867.8359
30.2577,-419271.6555
30.316,-417758.4791
30.3743,-416745.2654
30.4326,-415231.5454
30.4909,-413025.0765
30.5492,-411677.5015
30.6075,-409967.0272
30.6658,-408103.9024
30.7241,-406391.5054
30.7824,-404545.0414
30.8407,-402781.7079
30.899,-401576.3583
30.9573,-400210.4875
31.0156,-398617.5501
31.0739,-396664.0925
31.1322,-394663.9217
31.1905,-393137.8004
31.2488,-391462.8379
31.3071,-389626.9511
31.3654,-387485.7368
31.4237,-385946.0417
31.482,-384476.7138
31.5403,-382616.8987
31.5986,-381130.9954
31.6569,-380137.6738
31.7152,-378031.5908
31.7735,-376298.4867
31.8318,-374048.2695
31.8901,-372574.562
31.9484,-371165.1642
32.0067,-369413.134
32.065,-367915.5902
32.1233,-366148.8869
32.1816,-364747.1376
32.2399,-361982.3728
32.2982,-360037.5829
32.3565,-358719.5205
32.4148,-356346.2397
32.4731,-354499.8046
32.5314,-352681.4578
32.5897,-350773.8578
32.648,-349074.7753
32.7063,-346596.4051
32.7646,-344553.7749
32.8229,-342634.2309
32.8812,-341539.8148
32.9395,-338435.1189
32.9978,-337480.1558
33.0561,-334652.4636
33.1144,-333322.5937
33.1727,-330469.0922
33.231,-329108.5172
33.2893,-326820.7287
33.3476,-324587.4627
33.4059,-322581.2585
33.4642,-320554.2508
33.5225,-318474.8885
33.5808,-316886.9791
33.6391,-313683.1477
33.6974,-312515.7465
33.7557,-310359.2003
33.814,-308674.4908
33.8723,-305912.9932
33.9306,-304635.3528
33.9889,-301911.7575
34.0472,-300204.9984
34.1055,-297568.8388
34.1638,-295416.9655
34.2221,-293844.3927
34.2804,-291131.4987
34.3387,-289415.1728
34.397,-287548.8126
34.4553,-284586.3974
34.5136,-283097.9029
34.5719,-280531.3964
34.6302,-278998.4142
34.6885,-276000.1392
34.7468,-274072.2345
34.8051,-272661.3443
34.8634,-269984.7588
34.9217,-267610.3792
34.98,-265485.6002
35.0383,-263511.3219
35.0966,-260963.1108
35.1549,-258576.3046
35.2132,-257601.2929
35.2715,-254750.8489
35.3298,-252925.9637
35.3881,-250695.0217
35.4464,-247992.8342
35.5047,-245928.2534
35.563,-244052.0806
35.6213,-240485.3623
35.6796,-239036.3684
35.7379,-235962.614
35.7962,-234029.178
35.8545,-231140.494
35.9128,-229219.2269
35.9711,-226829.8646
36.0294,-224261.1916
36.0877,-221689.9959
36.146,-219096.7422
36.2043,-217371.5992
36.2626,-215261.2099
36.3209,-212438.4636
36.3792,-209603.0871
36.4375,-207047.2783
36.4958,-204406.7632
36.5541,-202189.9555
36.6124,-199488.1378
36.6707,-196699.9394
36.729,-194027.1686
36.7873,-191877.5168
36.8456,-189860.9432
36.9039,-187014.7527
36.9622,-185131.6781
37.0205,-181769.1178
37.0788,-180438.6767
37.1371,-177590.7606
37.1954,-174860.0059
37.2537,-173138.0212
37.312,-171131.7471
37.3703,-169649.5642
37.4286,-167935.3993
37.4869,-165108.424
37.5452,-163872.365
