time,value
0.0583,0.0
0.1166,0.0
0.1749,-0.0
0.2332,-0.0
0.2915,-0.0
0.3498,-0.0
0.4081,-0.0
0.4664,-0.0
0.5247,-0.0
0.583,-0.0
0.6413,-0.0
0.6996,-0.0
0.7579,-0.0
0.8162,-0.0
0.8745,-0.0
0.9328,-0.0
0.9911,-0.0
1.0494,-0.0
1.1077,-0.0
1.166,-0.0
1.2243,-0.0
1.2826,-0.0
1.3409,-0.0
1.3992,-0.0
1.4575,-0.0
1.5158,-0.0
1.5741,-0.0
1.6324,-0.0
1.6907,-0.0
1.749,-0.0
1.8073,-0.0
1.8656,-0.0
1.9239,-0.0
1.9822,-0.0
2.0405,-0.0
2.0988,-0.0
2.1571,-0.0
2.2154,-0.0
2.2737,-0.0
2.332,-0.0
2.3903,-0.0
2.4486,-0.0
2.5069,-0.0
2.5652,-0.0
2.6235,-0.0
2.6818,-0.0
2.7401,-0.0
2.7984,-0.0
2.8567,-0.0
2.915,-0.0
2.9733,-0.0
3.0316,-0.0
3.0899,-0.0
3.1482,-0.0
3.2065,-0.0
3.2648,-0.0
3.3231,-0.0
3.3814,-0.0
3.4397,-0.0
3.498,-0.0
3.5563,-0.0
3.6146,-0.0
3.6729,-0.0
3.7312,-0.0
3.7895,-2.56403216
3.8478,-25.78063265
3.9061,-74.18107334
3.9644,-149.0018381
4.0227,-251.4889513
4.081,-382.8357244
4.1393,-544.2235038
4.1976,-736.7622667
4.2559,-961.6016495
4.3142,-1219.811193
4.3725,-1512.451215
4.4308,-1840.446508
4.4891,-2204.783697
4.5474,-2606.229408
4.6057,-3045.547293
4.664,-3523.273652
4.7223,-4040.09222
4.7806,-4596.295295
4.8389,-5192.373224
4.8972,-5828.399835
4.9555,-6504.76385
5.0138,-7221.15001
5.0721,-7978.358288
5.1304,-8775.853174
5.1887,-9613.734999
5.247,-10490.82871
5.3053,-11407.18967
5.3636,-12360.9804
5.4219,-13352.14978
5.4802,-14378.25899
5.5385,-15438.99386
5.5968,-16531.70411
5.6551,-17655.98808
5.7134,-18809.18882
5.7717,-19989.43212
5.83,-21193.82581
5.8883,-22421.28063
5.9466,-23668.09118
6.0049,-24932.53813
6.0632,-26211.33633
6.1215,-27502.13573
6.1798,-28800.85782
6.2381,-30105.79212
6.2964,-31413.21404
6.3547,-32719.39614
6.413,-34021.13782
6.4713,-35315.58858
6.5296,-36598.8842
6.5879,-37867.78584
6.6462,-39118.58151
6.7045,-40349.17849
6.7628,-41553.66355
6.8211,-42730.01516
6.8794,-43874.77018
6.9377,-44985.11032
6.996,-46056.4359
7.0543,-47085.91931
7.1126,-48071.18735
7.1709,-49010.18223
7.2292,-49897.93577
7.2875,-50732.28617
7.3458,-51510.94048
7.4041,-52230.22867
7.4624,-52887.31466
7.5207,-53509.21326
7.579,-54131.80182
7.6373,-54754.4041
7.6956,-55377.11853
7.7539,-56000.23065
7.8122,-56623.73389
7.8705,-57247.50433
7.9288,-57871.40418
7.9871,-58495.93494
8.0454,-59120.60972
8.1037,-59745.71106
8.162,-60371.14479
8.2203,-60997.45326
8.2786,-61624.41762
8.3369,-62252.50538
8.3952,-62880.20522
8.4535,-63509.48917
8.5118,-64139.65534
8.5701,-64771.13473
8.6284,-65403.43391
8.6867,-66037.31358
8.745,-66673.75095
8.8033,-67310.68873
8.8616,-67949.0784
8.9199,-68589.41686
8.9782,-69231.2122
9.0365,-69874.67736
9.0948,-70519.08422
9.1531,-71165.64578
9.2114,-71812.39714
9.2697,-72460.63655
9.328,-73110.57045
9.3863,-73762.05525
9.4446,-74413.31289
9.5029,-75066.22462
9.5612,-75719.93499
9.6195,-76376.12477
9.6778,-77032.10446
9.7361,-77689.00284
9.7944,-78346.95075
9.8527,-79005.24856
9.911,-79665.01321
9.9693,-80325.47938
10.0276,-80986.08271
10.0859,-81648.3883
10.1442,-82310.64587
10.2025,-82974.33704
10.2608,-83638.07674
10.3191,-84302.53019
10.3774,-84968.29168
10.4357,-85635.47439
10.494,-86302.44484
10.5523,-86970.6384
10.6106,-87638.20346
10.6689,-88307.99151
10.7272,-88977.61149
10.7855,-89647.54757
10.8438,-90318.277
10.9021,-90991.27772
10.9604,-91663.17728
11.0187,-92335.84731
11.077,-93009.49629
11.1353,-93683.24741
11.1936,-94357.11993
11.2519,-95031.47669
11.3102,-95705.6654
11.3685,-96381.96953
11.4268,-97056.47438
11.4851,-97732.52946
11.5434,-98407.90879
11.6017,-99083.75063
11.66,-99760.09713
11.7183,-100436.9505
11.7766,-101110.9822
11.8349,-101787.1605
11.8932,-102462.3876
11.9515,-103138.6905
12.0098,-103812.5575
12.0681,-104488.3719
12.1264,-105164.6449
12.1847,-105841.4291
12.243,-106519.0266
12.3013,-107196.3247
12.3596,-107874.6675
12.4179,-108552.4021
12.4762,-109230.0411
12.5345,-109908.6969
12.5928,-110585.6389
12.6511,-111263.5959
12.7094,-111941.662
12.7677,-112620.7862
12.826,-113298.8831
12.8843,-113979.877
12.9426,-114658.3544
13.0009,-115338.5038
13.0592,-116016.8113
13.1175,-116696.6719
13.1758,-117376.6737
13.2341,-118054.7509
13.2924,-118734.4072
13.3507,-119415.005
13.409,-120094.5352
13.4673,-120776.2504
13.5256,-121457.2511
13.5839,-122138.1676
13.6422,-122819.4743
13.7005,-123501.2243
13.7588,-124182.446
13.8171,-124862.8378
13.8754,-125545.6084
13.9337,-126227.5771
13.992,-126908.8988
14.0503,-127592.6715
14.1086,-128275.9846
14.1669,-128956.7123
14.2252,-129639.623
14.2835,-130318.9722
14.3418,-130999.8819
14.4001,-131679.1068
14.4584,-132361.3862
14.5167,-133043.2071
14.575,-133723.6274
14.6333,-134404.8164
14.6916,-135086.9949
14.7499,-135766.3313
14.8082,-136447.1163
14.8665,-137128.3177
14.9248,-137808.5626
14.9831,-138486.4963
15.0414,-139165.9542
15.0997,-139844.8423
15.158,-140525.6568
15.2163,-141203.4125
15.2746,-141881.9157
15.3329,-142560.4426
15.3912,-143240.2716
15.4495,-143917.6268
15.5078,-144595.6045
15.5661,-145274.2098
15.6244,-145952.6658
15.6827,-146629.0547
15.741,-147308.5209
15.7993,-147986.0854
15.8576,-148662.6092
15.9159,-149338.4637
15.9742,-150016.4331
16.0325,-150695.5117
16.0908,-151371.1285
16.1491,-152047.6062
16.2074,-152722.9533
16.2657,-153398.5916
16.324,-154072.9816
16.3823,-154744.6799
16.4406,-155418.4877
16.4989,-156090.8402
16.5572,-156761.5837
16.6155,-157433.1538
16.6738,-158103.1746
16.7321,-158771.9529
16.7904,-159443.381
16.8487,-160114.1226
16.907,-160780.8849
16.9653,-161448.0967
17.0236,-162115.2508
17.0819,-162784.5294
17.1402,-163448.5246
17.1985,-164116.3043
17.2568,-164783.9608
17.3151,-165448.008
17.3734,-166112.0398
17.4317,-166777.686
17.49,-167442.6675
17.5483,-168108.0175
17.6066,-168772.8483
17.6649,-169435.4865
17.7232,-170099.3021
17.7815,-170762.7976
17.8398,-171420.0164
17.8981,-172082.2104
17.9564,-172743.3174
18.0147,-173401.6777
18.073,-174057.7
18.1313,-174710.8132
18.1896,-175365.7744
18.2479,-176015.477
18.3062,-176668.4691
18.3645,-177323.0642
18.4228,-177976.4791
18.4811,-178628.5065
18.5394,-179278.7116
18.5977,-179930.7879
18.656,-180578.4866
18.7143,-181227.6399
18.7726,-181876.6256
18.8309,-182518.7345
18.8892,-183163.6428
18.9475,-183805.9628
19.0058,-184451.0715
19.0641,-185094.2331
19.1224,-185735.8693
19.1807,-186378.3757
19.239,-187016.285
19.2973,-187652.8016
19.3556,-188291.135
19.4139,-188927.4546
19.4722,-189560.3883
19.5305,-190197.4789
19.5888,-190828.1489
19.6471,-191457.5367
19.7054,-192088.0004
19.7637,-192723.0502
19.822,-193351.2565
19.8803,-193981.2208
19.9386,-194611.5753
19.9969,-195237.2888
20.0552,-195864.7032
20.1135,-196489.8166
20.1718,-197117.251
20.2301,-197738.6943
20.2884,-198360.5451
20.3467,-198981.5361
20.405,-199600.7899
20.4633,-200217.6273
20.5216,-200835.3569
20.5799,-201452.3303
20.6382,-202066.7498
20.6965,-202679.888
20.7548,-203297.6419
20.8131,-203909.4536
20.8714,-204518.6345
20.9297,-205126.6857
20.988,-205735.8687
21.0463,-206347.7198
21.1046,-206949.2454
21.1629,-207555.6223
21.2212,-208160.3478
21.2795,-208762.9135
21.3378,-209366.2072
21.3961,-209970.4213
21.4544,-210572.2186
21.5127,-211165.9122
21.571,-211759.5314
21.6293,-212363.0362
21.6876,-212953.6551
21.7459,-213555.2695
21.8042,-214144.3234
21.8625,-214741.8079
21.9208,-215325.625
21.9791,-215917.9298
22.0374,-216501.3118
22.0957,-217091.2364
22.154,-217676.7388
22.2123,-218257.3911
22.2706,-218839.4168
22.3289,-219420.1188
22.3872,-219996.1598
22.4455,-220581.2746
22.5038,-221155.0549
22.5621,-221732.5015
22.6204,-222305.6044
22.6787,-222881.1314
22.737,-223453.4681
22.7953,-224023.3502
22.8536,-224593.7779
22.9119,-225163.4147
22.9702,-225733.6803
23.0285,-226298.1993
23.0868,-226860.5535
23.1451,-227429.5935
23.2034,-227983.5976
23.2617,-228545.7626
23.32,-229106.3167
23.3783,-229662.1392
23.4366,-230218.8339
23.4949,-230769.1934
23.5532,-231318.9954
23.6115,-231870.455
23.6698,-232418.3369
23.7281,-232964.0188
23.7864,-233516.7348
23.8447,-234066.2607
23.903,-234615.0821
23.9613,-235160.1932
24.0196,-235707.5505
24.0779,-236252.8362
24.1362,-236788.0858
24.1945,-237329.8032
24.2528,-237872.4397
24.3111,-238404.5824
24.3694,-238940.6817
24.4277,-239471.6004
24.486,-240009.8366
24.5443,-240533.7588
24.6026,-241062.9467
24.6609,-241586.0046
24.7192,-242106.6883
24.7775,-242637.7802
24.8358,-243149.5117
24.8941,-243679.9613
24.9524,-244189.9117
25.0107,-244715.3244
25.069,-245225.3877
25.1273,-245742.0472
25.1856,-246253.3174
25.2439,-246766.3265
25.3022,-247275.8827
25.3605,-247790.5772
25.4188,-248289.9692
25.4771,-248798.4915
25.5354,-249305.6065
25.5937,-249806.5834
25.652,-250310.1809
25.7103,-250806.9275
25.7686,-251300.315
25.8269,-251798.6224
25.8852,-252291.3687
25.9435,-252786.8147
26.0018,-253269.8615
26.0601,-253774.3082
26.1184,-254248.6454
26.1767,-254742.9885
26.235,-255222.5817
26.2933,-255704.346
26.3516,-256184.4805
26.4099,-256661.8485
26.4682,-257138.3695
26.5265,-257621.7517
26.5848,-258093.7736
26.6431,-258571.4757
26.7014,-259044.7532
26.7597,-259521.2888
26.818,-259984.0126
26.8763,-260455.8978
26.9346,-260918.1475
26.9929,-261384.2541
27.0512,-261848.048
27.1095,-262304.4089
27.1678,-262768.7918
27.2261,-263221.5782
27.2844,-263687.6052
27.3427,-264137.2484
27.401,-264588.0805
27.4593,-265035.6144
27.5176,-265487.9006
27.5759,-265936.3823
27.6342,-266383.8508
27.6925,-266828.5492
27.7508,-267268.2148
27.8091,-267716.6917
27.8674,-268144.1891
27.9257,-268576.5317
27.984,-269011.0302
28.0423,-269442.7688
28.1006,-269877.174
28.1589,-270311.9343
28.2172,-270734.7292
28.2755,-271167.7104
28.3338,-271585.5993
28.3921,-271999.8918
28.4504,-272425.0979
28.5087,-272849.3917
28.567,-273266.5181
28.6253,-273679.3714
28.6836,-274092.3915
28.7419,-274508.5378
28.8002,-274918.3269
28.8585,-275329.7622
28.9168,-275742.9768
28.9751,-276149.3182
29.0334,-276562.571
29.0917,-276965.7973
29.15,-277373.9313
29.2083,-277765.9534
29.2666,-278160.0535
29.3249,-278549.1722
29.3832,-278948.8532
29.4415,-279345.3313
29.4998,-279734.4527
29.5581,-280132.8406
29.6164,-280524.5029
29.6747,-280920.4238
29.733,-281305.6486
29.7913,-281682.1994
29.8496,-282072.7083
29.9079,-282448.1423
29.9662,-282827.3919
30.0245,-283208.9203
30.0828,-283583.2679
30.1411,-283954.769
30.1994,-284313.7019
30.2577,-284679.373
30.316,-285051.1155
30.3743,-285420.5087
30.4326,-285779.0389
30.4909,-286151.4429
30.5492,-286508.0097
30.6075,-286865.731
30.6658,-287225.7323
30.7241,-287578.4667
30.7824,-287921.4092
30.8407,-288266.9649
30.899,-288615.7684
30.9573,-288950.1353
31.0156,-289288.0705
31.0739,-289623.272
31.1322,-289959.2651
31.1905,-290278.8331
31.2488,-290611.0625
31.3071,-290934.0278
31.3654,-291254.6933
31.4237,-291579.8769
31.482,-291896.5771
31.5403,-292206.5959
31.5986,-292524.1944
31.6569,-292844.5434
31.7152,-293154.5623
31.7735,-293478.0118
31.8318,-293784.283
31.8901,-294090.5237
31.9484,-294410.1111
32.0067,-294715.5718
32.065,-295022.5072
32.1233,-295320.204
32.1816,-295619.4685
32.2399,-295910.8453
32.2982,-296208.3802
32.3565,-296496.2722
32.4148,-296789.2217
32.4731,-297065.5803
32.5314,-297352.3221
32.5897,-297622.7263
32.648,-297904.991
32.7063,-298181.2013
32.7646,-298452.2592
32.8229,-298718.1197
32.8812,-298995.7154
32.9395,-299263.2718
32.9978,-299535.2219
33.0561,-299813.7941
33.1144,-300083.7388
33.1727,-300355.4122
33.231,-300624.367
33.2893,-300882.7852
33.3476,-301144.1797
33.4059,-301405.1166
33.4642,-301662.9775
33.5225,-301909.7202
33.5808,-302149.3391
33.6391,-302389.5519
33.6974,-302616.8615
33.7557,-302830.4461
33.814,-303063.4557
33.8723,-303296.2536
33.9306,-303506.2136
33.9889,-303732.8568
34.0472,-303938.4472
34.1055,-304171.1729
34.1638,-304377.591
34.2221,-304594.8047
34.2804,-304803.4319
34.3387,-305006.2718
34.397,-305201.3509
34.4553,-305406.9757
34.5136,-305610.7772
34.5719,-305790.4157
34.6302,-305988.343
34.6885,-306177.7121
34.7468,-306350.758
34.8051,-306520.8579
34.8634,-306693.7639
34.9217,-306867.2217
34.98,-307044.7376
35.0383,-307208.0489
35.0966,-307373.1515
35.1549,-307546.6857
35.2132,-307725.6659
35.2715,-307887.4214
35.3298,-308062.6335
35.3881,-308217.0821
35.4464,-308381.0258
35.5047,-308541.4103
35.563,-308697.9642
35.6213,-308848.0762
35.6796,-308998.5842
35.7379,-309128.1442
35.7962,-309267.2118
35.8545,-309394.52
35.9128,-309528.3287
35.9711,-309650.3484
36.0294,-309774.6606
36.0877,-309890.2325
36.146,-310026.8367
36.2043,-310130.7646
36.2626,-310248.1984
36.3209,-310358.0879
36.3792,-310468.4104
36.4375,-310573.8969
36.4958,-310676.2968
36.5541,-310783.1298
36.6124,-310896.9685
36.6707,-311000.1982
36.729,-311104.4316
36.7873,-311210.4314
36.8456,-311305.1963
36.9039,-311401.2691
36.9622,-311486.2131
37.0205,-311585.3315
37.0788,-311674.1954
37.1371,-311767.5622
37.1954,-311846.607
37.2537,-311934.9795
37.312,-312014.2565
37.3703,-312116.78
37.4286,-312207.0986
37.4869,-312305.8817
