time,value
0.0,0.0
0.0583,1.4520641612e-09
0.1166,1.8122798009e-09
0.1749,2.0274080158e-09
0.2332,2.2619031042e-09
0.2915,2.5196630595e-09
0.3498,2.8492691916e-09
0.4081,3.1821578446e-09
0.4664,5.3293368425e-09
0.5247,7.4122604934e-09
0.583,9.4857879281e-09
0.6413,1.154294379e-08
0.6996,1.3594929681e-08
0.7579,1.5592384693e-08
0.8162,1.7543638224e-08
0.8745,1.9500102756e-08
0.9328,2.1454228492e-08
0.9911,2.3530833291e-08
1.0494,2.5666687591e-08
1.1077,2.7795812724e-08
1.166,2.989379494e-08
1.2243,3.1923336594e-08
1.2826,3.3877339236e-08
1.3409,3.5794700738e-08
1.3992,3.769659336e-08
1.4575,3.9536200147e-08
1.5158,4.1366738971e-08
1.5741,4.3184886278e-08
1.6324,4.5035079196e-08
1.6907,4.6909275547e-08
1.749,4.8862826842e-08
1.8073,5.0922403563e-08
1.8656,5.308964697e-08
1.9239,5.5302681544e-08
1.9822,5.7551905911e-08
2.0405,5.8011335746e-08
2.0988,6.020266465e-08
2.1571,6.0636326695e-08
2.2154,6.2772180996e-08
2.2737,6.3212408083e-08
2.332,6.3650132248e-08
2.3903,6.410024793e-08
2.4486,6.4553728195e-08
2.5069,6.5019230693e-08
2.5652,6.5488261901e-08
2.6235,6.5968125429e-08
2.6818,6.6453569241e-08
2.7401,6.6945167781e-08
2.7984,6.7426508443e-08
2.8567,6.7905305151e-08
2.915,6.8380039739e-08
2.9733,6.8842505905e-08
3.0316,6.9300130353e-08
3.0899,6.9764483969e-08
3.1482,7.0234376839e-08
3.2065,7.0710219278e-08
3.2648,7.1188769797e-08
3.3231,7.1672203066e-08
3.3814,7.2157318627e-08
3.4397,7.2643747196e-08
3.498,7.3130545048e-08
3.5563,7.3617342901e-08
3.6146,7.4105617888e-08
3.6729,7.4596149608e-08
3.7312,7.4926184731e-08
3.7895,7.3315094101e-08
3.8478,6.3002888409e-08
3.9061,2.8421974492e-08
3.9644,-5.7821723564e-08
4.0227,-2.3692431525e-07
4.081,-5.6519764773e-07
4.1393,-1.1149665011e-06
4.1976,-1.975142996e-06
4.2559,-3.2516359874e-06
4.3142,-5.0673800532e-06
4.3725,-7.5609849319e-06
4.4308,-1.0883340556e-05
4.4891,-1.5193910322e-05
4.5474,-2.0657545875e-05
4.6057,-2.744270999e-05
4.664,-3.5720052889e-05
4.7223,-4.5661740167e-05
4.7806,-5.7440549416e-05
4.8389,-7.1229676212e-05
4.8972,-8.7202168195e-05
4.9555,-0.0001055310965
5.0138,-0.00012638903278
5.0721,-0.00014994800147
5.1304,-0.00017637897542
5.1887,-0.00020585174391
5.247,-0.00023853414177
5.3053,-0.00027459171391
5.3636,-0.00031418693554
5.4219,-0.00035747898107
5.4802,-0.00040462264627
