time,value
0.0,5629.5661848
0.0583,5635.1090878
0.1166,5637.0431523
0.1749,5648.2506631
0.2332,5646.1853326
0.2915,5648.228446
0.3498,5649.0994222
0.4081,5650.251137
0.4664,5651.4278439
0.5247,5651.5600879
0.583,5652.5357645
0.6413,5652.8960208
0.6996,5653.3037551
0.7579,5653.8115146
0.8162,5654.4027205
0.8745,5654.9804861
0.9328,5655.9648078
0.9911,5656.7541318
1.0494,5657.6836226
1.1077,5658.2834052
1.166,5658.7495628
1.2243,5659.280038
1.2826,5659.5386436
1.3409,5659.7684927
1.3992,5660.0691195
1.4575,5660.3729701
1.5158,5660.5707469
1.5741,5660.8011852
1.6324,5660.9236848
1.6907,5661.0369596
1.749,5661.1212452
1.8073,5661.2567235
1.8656,5661.3830858
1.9239,5661.5752836
1.9822,5661.6408265
2.0405,5661.7418896
2.0988,5661.8014335
2.1571,5661.8408349
2.2154,5661.8367333
2.2737,5661.8277383
2.332,5661.7146942
2.3903,5661.8794837
2.4486,5661.9346807
2.5069,5662.0267807
2.5652,5662.0088092
2.6235,5662.1106068
2.6818,5662.0658569
2.7401,5662.149138
2.7984,5662.2264826
2.8567,5662.2934033
2.915,5662.3701598
2.9733,5662.4188868
3.0316,5662.5766654
3.0899,5662.6493893
3.1482,5662.8556788
3.2065,5663.1367036
3.2648,5663.3282874
3.3231,5663.5761405
3.3814,5663.8636368
3.4397,5664.0010074
3.498,5664.2561206
3.5563,5664.3619162
3.6146,5664.4007515
3.6729,5664.4941852
3.7312,5664.6486897
3.7895,5664.7375839
3.8478,5664.9237611
3.9061,5665.0544959
3.9644,5665.2183429
4.0227,5665.3910794
4.081,5665.4502638
4.1393,5665.5222873
4.1976,5665.6984267
4.2559,5665.8026131
4.3142,5665.8705578
4.3725,5665.9604415
4.4308,5666.0831543
4.4891,5666.188716
4.5474,5666.2509856
4.6057,5666.39411
4.664,5666.5491504
4.7223,5666.7655457
4.7806,5666.9777729
4.8389,5667.2105487
4.8972,5667.2963334
4.9555,5667.3789872
5.0138,5667.4335597
5.0721,5667.4700728
5.1304,5667.4746592
5.1887,5667.5855781
5.247,5667.6526965
5.3053,5667.8116743
5.3636,5667.8857061
5.4219,5667.9374214
5.4802,5667.9456466
5.5385,5667.9931861
5.5968,5668.1281494
5.6551,5668.1557686
5.7134,5668.1560553
5.7717,5668.2227771
5.83,5668.2998997
5.8883,5668.3113468
5.9466,5668.4121827
6.0049,5668.4351185
6.0632,5668.4601562
6.1215,5668.4948743
6.1798,5668.6752856
6.2381,5668.7082788
6.2964,5668.760652
6.3547,5668.7837345
6.413,5668.8792506
6.4713,5668.9141187
6.5296,5669.0827734
6.5879,5669.3825935
6.6462,5669.5597762
6.7045,5669.6295794
6.7628,5669.7690206
6.8211,5669.973202
6.8794,5670.0682275
6.9377,5670.0688255
6.996,5670.085493
7.0543,5670.221334
7.1126,5670.2768005
7.1709,5670.295983
7.2292,5670.4235
7.2875,5670.4747395
7.3458,5670.4817337
7.4041,5670.5326309
7.4624,5670.652551
7.5207,5670.7244059
7.579,5670.8078156
7.6373,5670.8547751
7.6956,5670.9274991
7.7539,5670.987917
7.8122,5671.0238239
7.8705,5671.0630256
7.9288,5671.1283245
7.9871,5671.1312193
8.0454,5671.2232969
8.1037,5671.2666888
8.162,5671.3330055
8.2203,5671.4161742
8.2786,5671.4034362
8.3369,5671.4170515
8.3952,5671.4726284
8.4535,5671.4986682
8.5118,5671.511124
8.5701,5671.5363757
8.6284,5671.6953289
8.6867,5671.6934272
8.745,5671.7297881
8.8033,5671.7498578
8.8616,5671.804919
8.9199,5671.8122502
8.9782,5671.8231702
9.0365,5671.8950142
9.0948,5671.9406725
9.1531,5671.8917463
9.2114,5672.0126382
9.2697,5672.0768916
9.328,5672.0976709
9.3863,5672.1040355
9.4446,5672.1592731
9.5029,5672.3322024
9.5612,5672.4420578
9.6195,5672.4883447
9.6778,5672.6090661
9.7361,5672.626839
9.7944,5672.7588984
9.8527,5672.8198542
