Quantity,Phase,Start Time,End Time,Start Value,End Value,Converged,Convergence Time,Convergence Value,Time Saved
Fx,velocityRamp,0.0,74.08,0.0,-526017.1707,No,N/A,N/A,0
Fx,largeTimeStep,74.08,161.3161,-526109.7683,-539944.4781,Yes,161.3161,-540267.9334,120.12389999999999
Fx,reduceTimeStep,161.3161,161.3161,-539944.4781,-539944.4781,No,N/A,N/A,0
Fx,propulsionVariation,161.3161,284.70805,-539944.4781,-537403.8595,Yes,284.70805,-537684.4246,135.80804999999998
Fx,final,284.70805,372.91595,-537403.8595,-526989.4704,Yes,372.91595,-526957.5847,170.9921
WFT,velocityRamp,0.0,74.08,0.0,-8.7811443219,No,N/A,N/A,0
WFT,largeTimeStep,74.08,161.3161,-8.7836843778,-9.1278537219,No,N/A,N/A,0
WFT,reduceTimeStep,161.3161,161.3161,-9.1278537219,-9.1278537219,No,N/A,N/A,0
WFT,propulsionVariation,161.3161,284.70805,-9.1278537219,-9.1368047042,Yes,276.5169,-9.1387746514,143.99919999999997
WFT,final,284.70805,372.91595,-9.1368047042,-8.9132330635,Yes,371.1378,-8.9142675175,172.77024999999998
