Quantity,Phase,Start Time,End Time,Original Start,Original End,Optimized Start,Optimized End,Converged,Convergence Time,Convergence Value,Time Saved
Fx,velocityRamp,0.0,74.08,0.0,-526017.1707,0.0,-526109.7683,No,N/A,N/A,0
Fx,largeTimeStep,74.08,104.1821,-526109.7683,-555003.2257,N/A,N/A,Yes,104.1821,-555120.5344,0
Fx,reduceTimeStep,104.1821,104.1821,-555003.2257,-555003.2257,-555003.2257,-555003.2257,No,N/A,N/A,0
Fx,propulsionVariation,104.1821,244.5685,-555003.2257,-542036.9415,-555003.2257,-542036.9415,Yes,244.5685,-542050.9493,0
Fx,final,244.5685,284.6789,-542036.9415,-538022.6897,-542036.9415,-538022.6897,Yes,284.6789,-537541.1984,0
FxP,velocityRamp,0.0,74.08,0.0,-163640.3332,0.0,-163700.1892,No,N/A,N/A,0
FxP,largeTimeStep,74.08,104.1821,-163700.1892,-189038.7191,N/A,N/A,No,N/A,N/A,0
FxP,reduceTimeStep,104.1821,104.1821,-189038.7191,-189038.7191,-189038.7191,-189038.7191,No,N/A,N/A,0
FxP,propulsionVariation,104.1821,244.5685,-189038.7191,-176265.4192,-189038.7191,-176265.4192,No,N/A,N/A,0
FxP,final,244.5685,284.6789,-176265.4192,-172255.0848,-176265.4192,-172255.0848,No,N/A,N/A,0
FxV,velocityRamp,0.0,74.08,0.0,-362376.8375,0.0,-362409.5791,No,N/A,N/A,0
FxV,largeTimeStep,74.08,104.1821,-362409.5791,-365964.5066,N/A,N/A,No,N/A,N/A,0
FxV,reduceTimeStep,104.1821,104.1821,-365964.5066,-365964.5066,-365964.5066,-365964.5066,No,N/A,N/A,0
FxV,propulsionVariation,104.1821,244.5685,-365964.5066,-365771.5223,-365964.5066,-365771.5223,No,N/A,N/A,0
FxV,final,244.5685,284.6789,-365771.5223,-365767.6048,-365771.5223,-365767.6048,No,N/A,N/A,0
Trim,velocityRamp,0.0,74.08,-0.0,0.03219453118,-0.0,0.03221592869,No,N/A,N/A,0
Trim,largeTimeStep,74.08,104.1821,0.03221592869,0.03637266678,N/A,N/A,No,N/A,N/A,0
Trim,reduceTimeStep,104.1821,104.1821,0.03637266678,0.03637266678,0.03637266678,0.03637266678,No,N/A,N/A,0
Trim,propulsionVariation,104.1821,244.5685,0.03637266678,0.03752762383,0.03637266678,0.03752762383,No,N/A,N/A,0
Trim,final,244.5685,284.6789,0.03752762383,0.03760681392,0.03752762383,0.03760681392,No,N/A,N/A,0
Sinkage,velocityRamp,0.0,74.08,0.0,-0.22014236831,0.0,-0.22014481137,No,N/A,N/A,0
Sinkage,largeTimeStep,74.08,104.1821,-0.22014481137,-0.22497432836,N/A,N/A,No,N/A,N/A,0
Sinkage,reduceTimeStep,104.1821,104.1821,-0.22497432836,-0.22497432836,-0.22497432836,-0.22497432836,No,N/A,N/A,0
Sinkage,propulsionVariation,104.1821,244.5685,-0.22497432836,-0.22674017641,-0.22497432836,-0.22674017641,No,N/A,N/A,0
Sinkage,final,244.5685,284.6789,-0.22674017641,-0.22688413875,-0.22674017641,-0.22688413875,No,N/A,N/A,0
WFT,velocityRamp,0.0,74.08,0.0,-8.7811443219,0.0,-8.7836843778,No,N/A,N/A,0
WFT,largeTimeStep,74.08,104.1821,-8.7836843778,-9.1579662428,N/A,N/A,No,N/A,N/A,0
WFT,reduceTimeStep,104.1821,104.1821,-9.1579662428,-9.1579662428,-9.1579662428,-9.1579662428,No,N/A,N/A,0
WFT,propulsionVariation,104.1821,244.5685,-9.1579662428,-9.1464040146,-9.1579662428,-9.1464040146,Yes,144.2925,-9.1336495617,100.27600000000001
WFT,final,244.5685,284.6789,-9.1464040146,-9.1368266364,-9.1464040146,-9.1368266364,Yes,284.6789,-9.1367039635,0
Wetted,velocityRamp,0.0,74.08,5629.5661848,5760.4540041,5629.5661848,5760.4912157,No,N/A,N/A,0
Wetted,largeTimeStep,74.08,104.1821,5760.4912157,5760.1860527,N/A,N/A,No,N/A,N/A,0
Wetted,reduceTimeStep,104.1821,104.1821,5760.1860527,5760.1860527,5760.1860527,5760.1860527,No,N/A,N/A,0
Wetted,propulsionVariation,104.1821,244.5685,5760.1860527,5749.902341,5760.1860527,5749.902341,No,N/A,N/A,0
Wetted,final,244.5685,284.6789,5749.902341,5749.809318,5749.902341,5749.809318,No,N/A,N/A,0
